dataset,point_index,x,y,yerr,x_label,y_label,notes
120 g/m2 air thickness per layer,5,30.0,0.01466666666666668,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,6,35.0,0.01514285714285715,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,7,40.0,0.015749999999999997,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,8,45.0,0.014222222222222216,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,9,50.0,0.016000000000000014,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,10,55.0,0.015454545454545448,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,11,60.0,0.016000000000000014,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,12,65.0,0.016153846153846164,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,13,70.0,0.015857142857142847,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,14,75.0,0.016133333333333343,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,15,80.0,0.015999999999999993,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,16,85.0,0.015176470588235284,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,17,90.0,0.01466666666666667,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
