dataset,point_index,x,y,yerr,x_label,y_label,notes
160 g/m2 paper,2,0.75,0.6090467843054757,0.000885398346520991,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,3,1.5,0.6484004100675963,0.003891458326524133,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,4,2.25,0.6728356034199269,0.0017747438336430698,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,5,3.0,0.6646110656706185,0.004108109599665474,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,6,7.5,0.618348965308578,0.010744766559504378,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,7,15.0,0.5153801776278991,0.0011167085065451493,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,8,22.5,0.3632208869502867,0.014447522824191986,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,9,30.0,0.26061062682345204,0.0036571524359377034,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,10,37.5,0.28085571964719475,0.003539003607466088,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,11,45.0,0.2886025976861421,0.012009633340109594,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,12,60.0,0.35232104243377677,0.005072320268754336,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
160 g/m2 paper,13,75.0,0.3480654369685016,0.004516677539467982,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,0,0.0,0.7141294191617702,0.0012925374138493774,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,1,0.22,0.6623987316423222,0.0055708632941295355,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,2,0.44,0.6441248072930887,0.002128186739444896,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
