Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
264	216.42662	627.3	 	163.45251	28.102373	 
265	216.44745	627.36365	 	163.99438	28.592697	 
266	216.40662	627.4612	 	163.23077	27.893492	 
267	216.34549	627.50714	 	163.95773	28.491253	 
268	216.41197	627.3485	 	163.0994	27.915663	 
269	216.42274	627.60016	 	163.125	27.956396	 
270	216.37018	627.5485	 	162.60175	27.718023	 
271	216.3922	627.6503	 	163.19142	28.197144	 
272	216.41667	627.4066	 	162.75075	28.001493	 
273	216.37161	627.7097	 	163.19026	28.016224	 
274	216.33237	627.6195	 	166.85883	25.42941	*
275	216.38023	627.71643	 	166.38202	24.994383	*
276	216.37735	627.7857	 	165.85057	24.683908	*
277	216.23517	627.8936	 	167.48314	25.573034	*
278	216.232	628.09656	 	166.28857	24.997143	*
279	216.24069	628.1834	 	167.11237	25.449438	*
280	216.29597	628.2342	 	166.47041	24.819527	*
281	216.3037	628.2525	 	166.85028	25.08192	*
282	216.21428	628.1457	 	166.74022	24.801676	*
283	216.18103	628.18823	 	166.28528	24.46319	*
284	216.18195	628.36676	 	166.52396	24.685629	*
285	216.2322	628.35614	 	166.61932	24.852272	*
286	216.21977	628.44025	 	165.72093	24.186047	*
287	216.24501	628.4117	 	166.67714	24.934286	*
288	216.223	628.4986	 	166.07738	24.39881	*
289	216.15723	628.5028	 	167.14912	25.108187	*
290	216.14034	628.6213	 	166.60059	25.14497	*
291	216.17943	628.7269	 	165.80177	24.452663	*
292	216.09525	628.8782	 	166.42485	24.852602	*
293	216.0941	628.7135	 	166.5	25.003105	*
294	216.10585	628.9206	 	167.24419	25.180233	*
295	216.10278	628.8889	 	166.40857	24.431429	*
296	216.11798	628.7542	 	165.94	23.877142	*
297	216.0838	628.9344	 	166.18048	24.286982	*
298	216.04393	629.01044	 	166.51819	24.657576	*
299	216.09637	629.0405	 	166.70859	24.567484	*
300	216.08368	629.0865	 	166.2212	23.984848	*
301	216.08995	629.10254	 	166.5651	24.54142	*
302	215.92313	629.0557	 	165.8642	24.17284	*
303	215.96217	629.2111	 	166.07558	24.197674	*
304	215.98195	629.1861	 	167.21597	24.41716	*
305	215.92201	629.2075	 	167.32634	24.32036	*
306	215.86717	629.3067	 	166.89053	24.340237	*
307	215.79526	629.4986	 	167.01978	24.313559	*
308	215.72363	629.53094	 	166.72424	24.142424	*
309	215.81058	629.5989	 	167.42073	24.414635	*
310	215.71259	629.55176	 	168.23215	24.970238	*
311	215.65503	629.5643	 	167.58496	24.343138	*
312	215.55809	629.66595	 	167.77563	24.326923	*
313	215.607	629.9115	 	167.95782	23.710844	*
314	215.57822	629.74304	 	167.6	23.247059	*
315	215.63031	630.024	 	166.90625	22.44375	*
316	215.40797	629.9739	 	167.63376	22.914013	*

Track 	Length	Distance traveled	Nr of Frames
1	955.28296	588.9818	316
2	339.40244	10.1304655	297
